Date,Experiment,Camera,Fly id,Well location,Start Time,File,Length,Frame rate,Time of death (hours into video),Associated data,Most Recent Tracking Date,Number of individuals,Notes,"Center coords (x,y) indexed to UL corner"
4/18/2022,exp5,Camera 1,51,LL,,20220418-lts-cam1,,99.96,,,,,,"(375,1142)"
4/18/2022,exp5,Camera 1,52,LR,,20220418-lts-cam1,,99.96,,,,,,"(1149,1160)"
4/18/2022,exp5,Camera 2,53,UL,,20220418-lts-cam2,,99.96,,,,,,"(370,378)"
4/18/2022,exp5,Camera 2,54,UR,,20220418-lts-cam2,,99.96,,,,,,"(1146,379)"
4/18/2022,exp5,Camera 2,55,LL,,20220418-lts-cam2,,99.96,,,,,,"(380,1160)"
4/18/2022,exp5,Camera 2,56,LR,,20220418-lts-cam2,,99.96,,,,,,"(1152,1160)"
4/18/2022,exp5,Camera 3,57,UL,,20220418-lts-cam3,,99.96,,,,,,"(378,370)"
4/18/2022,exp5,Camera 3,58,UR,,20220418-lts-cam3,,99.96,,,,,,"(1152,379)"
4/18/2022,exp5,Camera 3,59,LL,,20220418-lts-cam3,,99.96,,,,,,"(378,1149)"
4/18/2022,exp5,Camera 3,60,LR,,20220418-lts-cam3,,99.96,,,,,,"(1152,1152)"
4/18/2022,exp5,Camera 4,61,UL,,20220418-lts-cam4,,99.96,,,,,,"(361,380)"
4/18/2022,exp5,Camera 4,62,UR,,20220418-lts-cam4,,99.96,,,,,,"(1139,369)"
4/18/2022,exp5,Camera 4,63,LL,,20220418-lts-cam4,,99.96,,,,,,"(383,1152)"
4/18/2022,exp5,Camera 4,64,LR,,20220418-lts-cam4,,99.96,,,,,,"(1158,1143)"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,Number of instances tracked:,,,,,,
,,,,,,,,Live hours:,,,,,,
