,Landmark,Error (mm)
0,head,0.04230542098602993
1,head,0.02580488723055556
2,head,0.04552528749316744
3,head,0.02958554018481093
4,head,0.07118018526092915
5,head,0.07723632563988347
6,head,0.015848620139467556
7,head,0.02604103766023341
8,head,0.07871694453775786
9,head,0.022368583283918986
10,head,0.06298750832139555
11,head,0.04169868768207969
12,head,0.08149998039071726
13,head,0.055091330304100815
14,head,0.049024848868955896
15,head,0.023440930656192054
16,head,0.02039214353642074
17,head,0.0185416063830327
18,head,0.04314872946488801
19,head,0.06641537984583148
20,head,0.005048883448825229
21,head,0.017362502053458663
22,head,0.013029723491263792
23,head,0.021032801148683125
24,head,0.032214522893465776
25,head,0.0335649586374133
26,head,0.01906228856918903
27,head,0.056873559211514296
28,head,0.014284621779492718
29,head,0.020297901446348347
30,head,0.03587867275029029
31,head,0.024219617683794836
32,head,0.06730365264971329
33,head,
34,head,0.04546633533971245
35,eyeL,0.07636328617374775
36,eyeL,0.03348576045108031
37,eyeL,0.024796702512225932
38,eyeL,0.04114986222278209
39,eyeL,0.021974985581089637
40,eyeL,0.03092820197399481
41,eyeL,0.018855415765464834
42,eyeL,0.025139645520576983
43,eyeL,0.05758589023551727
44,eyeL,0.026631686015068823
45,eyeL,0.07251122700187974
46,eyeL,0.02751306010781342
47,eyeL,0.07765011203122327
48,eyeL,0.2418974754246987
49,eyeL,
50,eyeL,0.02157958886224641
51,eyeL,0.0461739085201287
52,eyeL,0.07683316241900556
53,eyeL,0.010340790794053803
54,eyeL,0.053706528962874624
55,eyeL,0.01635734804425568
56,eyeL,0.02137493088015789
57,eyeL,0.021113484192704497
58,eyeL,0.09416975552593054
59,eyeL,0.032114523113388846
60,eyeL,0.018111332793715323
61,eyeL,0.04931012340083005
62,eyeL,0.03467284132895356
63,eyeL,0.025321274778696893
64,eyeL,0.11213871859793938
65,eyeL,0.06601582109504334
66,eyeL,0.038914701880142316
67,eyeL,0.08068654446500638
68,eyeL,
69,eyeL,0.021314249141406203
70,eyeR,0.026754748442165827
71,eyeR,0.021304610213272932
72,eyeR,0.0738863473125955
73,eyeR,0.05808891176593941
74,eyeR,0.12375251614340271
75,eyeR,0.05041583254269852
76,eyeR,0.0246224886916027
77,eyeR,0.012041512724370701
78,eyeR,0.14730552307395542
79,eyeR,0.02154244073132947
80,eyeR,0.023166712033964067
81,eyeR,0.022698383154820593
82,eyeR,0.05364346552377243
83,eyeR,0.07568217993162335
84,eyeR,0.015506793210674538
85,eyeR,0.05752841626487515
86,eyeR,0.01850868712754716
87,eyeR,0.017955471975105882
88,eyeR,0.028406561041938845
89,eyeR,0.08997525683578991
90,eyeR,0.04488373977972354
91,eyeR,0.09653978554712714
92,eyeR,0.09744017666120279
93,eyeR,0.12327776971062356
94,eyeR,0.012004567653341737
95,eyeR,0.038661819832154755
96,eyeR,0.010740507274578742
97,eyeR,0.019996573385951903
98,eyeR,0.041232232151026185
99,eyeR,0.017215008612938835
100,eyeR,0.028544282568877217
101,eyeR,0.026413558448681054
102,eyeR,0.03964889139172994
103,eyeR,
104,eyeR,0.02327078962686825
105,thorax,0.09698885143453714
106,thorax,0.07695083588311927
107,thorax,0.047864745731627065
108,thorax,0.023594643388964547
109,thorax,0.06665790527325095
110,thorax,0.02331026749948423
111,thorax,0.057001441945976984
112,thorax,0.05760597702621496
113,thorax,0.021281559651358854
114,thorax,0.024598112676752222
115,thorax,0.11169249684358037
116,thorax,0.03121438260797379
117,thorax,0.053250534069276004
118,thorax,0.056257561110037387
119,thorax,0.057098030728394956
120,thorax,0.04690069722634643
121,thorax,0.02154473796726678
122,thorax,0.03193657650880007
123,thorax,0.06194714985163976
124,thorax,0.029913332365056163
125,thorax,0.0286860840857219
